,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
49,245927,1.0,True,Centrum-West,52.36815,4.88604,Entire home/apt,4,2,3,23,515.0,2,180,True,0,1,4.58,True,128.75,1030.0,0.1,0.22,0.25,10.99,0.6410958904109589,3529.6301369863013
51,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2,2,16,385.0,4,30,True,0,0,4.89,False,96.25,1540.0,0.06,0.23,0.16,4.99,0.4520547945205479,1917.7945205479452
54,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1,1,5,88.0,4,30,True,0,0,4.85,False,44.0,352.0,0.05,0.1,0.18,4.99,0.0,439.24657534246575
56,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,2,2,1,130.0,4,21,True,0,1,4.75,False,32.5,520.0,0.06,0.14,0.18,4.99,0.7013698630136986,650.0
57,286500,0.8400000000000001,True,Centrum-West,52.37561,4.9,Private room,2,1,1,5,162.0,3,365,True,1,3,4.89,True,81.0,486.0,0.09,0.21,0.18,4.99,0.6136986301369863,941.4657534246576
58,290701,1.0,True,Centrum-West,52.37561,4.9,Private room,2,1,1,4,161.0,3,365,True,3,6,4.85,True,80.5,483.0,0.08,0.19,0.2,4.99,0.6794520547945205,931.8219178082192
59,291752,0.6,False,Oud-Oost,52.35179,4.91082,Private room,2,1,1,2,105.0,3,1125,True,1,0,4.86,False,52.5,315.0,0.06,0.17,0.16,4.99,0.7945205479452054,523.4931506849315
61,304143,1.0,False,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1,1,6,95.0,3,30,True,0,0,4.55,False,47.5,285.0,0.04,0.1,0.17,4.99,0.0,475.0
62,306852,0.79,False,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2,2,7,200.0,4,21,True,0,2,4.61,False,50.0,800.0,0.07,0.24,0.2,4.99,0.08493150684931507,1000.0
63,307621,0.51,False,Centrum-Oost,52.35871,4.89616,Entire home/apt,2,1,1,7,125.0,3,21,True,0,0,4.5,False,62.5,375.0,0.08,0.2,0.18,4.99,0.0,625.0
64,308028,0.55,False,Centrum-Oost,52.35972,4.8975,Private room,2,1,1,8,95.0,3,10,True,0,0,4.77,False,47.5,285.0,0.06,0.15,0.14,4.99,0.0,475.0
